zmin,zmax,bestrho,rhoerrlower,rhoerrupper
0.0,0.0,0.6,0.1,0.1
0.0,0.0,0.51,0.09,0.09
0.0,0.0,1.03,0.17,0.17
0.028,0.028,0.65,0.06,0.12
0.096,0.096,0.73,0.1,0.1
0.06,0.06,0.37,0.11,0.11
0.1,0.1,0.53,0.08,0.08
0.2,0.2,0.55,0.14,0.14
0.24,0.24,1.11,0.49,0.49
0.2,0.4,0.62,0.09,0.09
0.2,1.8,0.99,0.36,0.55
0.11,0.61,1.11,0.37,0.37
0.61,0.89,0.96,0.23,0.23
0.89,1.65,1.08,0.42,0.42
0.01,0.48,0.4,0.19,0.31
0.01,1.6,0.33,0.16,0.26
1.55,2.0,1.01,0.19,0.34
2.0,2.7,1.45,0.34,0.34
2.7,3.5,1.33,0.35,0.35
3.5,4.85,0.82,0.27,0.3
1.55,2.73,2.13,0.56,1.22
2.73,3.21,0.79,0.38,0.38
3.21,4.5,1.78,0.42,0.42
2.0,2.3,1.42,0.07,0.07
2.3,2.6,1.25,0.06,0.06
2.6,2.9,1.5,0.07,0.07
2.9,3.2,1.58,0.11,0.11
3.2,3.5,1.83,0.19,0.19
2.2,2.4,0.74,0.13,0.13
2.4,2.7,1.0,0.11,0.11
2.7,3.0,1.0,0.1,0.1
3.0,3.5,1.4,0.12,0.12
3.5,4.0,1.62,0.28,0.28
4.0,5.5,1.58,0.3,0.3
2.55,3.4,1.48,0.5,0.6
3.4,3.83,1.31,0.45,0.51
3.83,5.03,1.16,0.42,0.52
3.56,4.45,1.87,0.27,0.42
4.45,5.3,1.56,0.27,0.31
